Job Title,Company,Location,Category
Software ﻿QA Engineer Testing,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),Terai Region,"Engineering - Software, Software Development"
Software Developer Dot Net,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),Rupandehi,"Engineering - Software, Software Development"
"Interpreter, Translator, Bridge Engineer, Highway Engineer, HSE, Civil Engineer, Office Staff",Poly Changda Engineering Company,Sarlahi,"Engineering - Civil, Engineering - Structural, Office Assistant"
Expression of Interest to Conduct Training of Trainers (TOT),Access Planet Organization,Doti,"Development and Project, Expression of Interests, Tender Notice, Bid"
Admin Associate,Bagmati Welfare Society Nepal(BWSN),Pokhara,"Administrative / Management, Development and Project"
बाख्रा आपुर्ति सम्बन्धि टेण्डर आह्वान गरिएको सूचना,CEAD Nepal Doti,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
VT Mobiliser (1 Female only)-Residential,Opportunity Village Nepal,Okhaldhunga,"Development and Project, Business Administration, NGO/INGO/Social work"
Call for Proposal for consultancy service,Association of Community Radio Broadcasters Nepal,Birendranagar Surkhet,"Development and Project, Expression of Interests, Tender Notice, Bid"
Individual Consultant - Capacity Building Officer,UNDP,Kathmandu,"Development and Project, Environment and climate"
Province Director,KIRDARC-Nepal,Kathmandu,"Education, Social Science, Development and Project"
Various Positions,Vijay Motors Pvt. Ltd.,Kathmandu,"Automotive / Automobiles, Accounting and Finance, Marketing"
Crew Member (All-rounder),JobsNepal.com Direct Recruitment Service,"Madhesh Province, Lumbini Province, Sudurpashchim Province",Hospitality / Hotel
Administrative Officer,JobsNepal.com Direct Recruitment Service,Kathmandu,Administrative / Management
"Re-Call for Proposal for Consultancy for assessing the capacity of PHTC to conduct SRHR training and training need assessment in Madhesh, Lumbini and Sudurpaschim Provinces",ADRA Nepal,Pokhara,"Development and Project, Employment Training"
MEAL Technical Officer,People in  Need,Lalitpur,
MEAL-CFRM Coordinator,People in  Need,Kathmandu,
Consultant to develop a Climate Resilient Health Facility Emergency Preparedness and Management Plan,International Federation of Red Cross and Red Crescent Societies (IFRC),Dadeldhura,"Development and Project, Development / NGO"
Quality Improvement Manager / Research Officer (Re-Vacancy),International Nepal Fellowship,Janakpur,"Public Health, Development and Project, Research Officer"
कृषि सामग्रीहरू खरिदको लागि सिलबन्दी दरभाउपत्र आह्वानको सूचना,Lele Community Development Center,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Call for Expression of Interest (EOI),United Mission to Nepal,"Mahashila 5, Parbat, Gandaki Province","Development and Project, Expression of Interests, Tender Notice, Bid"
Project Coordinator,Astha Nepal,"Rupandehi, Lumbini Province","Development and Project, Development / NGO"
कर्मचारीको आवश्यक्ता,AANGAN,"Gandaki Province, Bagmati Province, Lumbini Province, Koshi Pradesh","Development and Project, Finance &amp; Administration"
Senior Python Engineer,Javra Software Nepal Pvt. Ltd.,Kathmandu,Information Technology
लेखा अधिकृत/कृषि प्राविधिक/प्रशोधन केन्द्र व्यवस्थापक,"ENPRED, Nepal",Sindhuli,"Accounting and Finance, Development and Project, Finance &amp; Administration, Agriculture/Livelihood"
"Terms of Reference (TOR) for conducting a study to identify green jobs opportunities, major challenges and suggest strategies for nature-based solutions including value chain analysis",Center for Development and Disaster Management (CDM-Nepal),"Madhesh Province, Lumbini Province","Development / NGO, Development / INGO, NGO/INGO/Social work"
Short Term Technical Assistance (STTA),Deloitte,Surkhet,"Administrative / Management, Tourism Industry, Development and Project"
छात्रवृत्तिका लागि आवेदन सम्बन्धि सूचना !,Nepal National Dalit Social Welfare Organization (NNDSWO),Nuwakot,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Programme Manager,Sindhuli Integrated Development Services Nepal (SIDS Nepal),Kathmandu,"Development and Project, Development / NGO"
Re- Request for Application (RFA),The Asia Foundation,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
शिलवन्दी कोटेशन आह्वान सम्वन्धि सूचना,Social Awareness Center SAC Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Sub Overseer (civil/electrical/mechanical),Buddhabhumi Nepal Hydropower Company Ltd.,Chitwan,Hydropower
Request for Full Application,Deloitte,"Rukum West, Jajarkot",Development and Project
Accountant,Buddhabhumi Nepal Hydropower Company Ltd.,Kathmandu,Accounting and Finance
Technical Expert Food Systems and Nutrition,Welthungerhilfe,Kathmandu,"Technical, Development and Project, Food Technology"
कर्मचारी पदपूर्ति सम्बन्धि सूचना,National Federation of the Deaf Nepal (NDFN),Lalitpur,"Agriculture, Education, Social Science, Development and Project"
Senior Project Associate (Engineering),IOM Nepal,Lalitpur,"Engineering - Architecture, Development and Project, Engineering, Engineering - Structural"
Project Officer (PO),Rural Women&#039;s Development and Unity Centre (RUWDUC),Lalitpur,"Development and Project, Development / NGO"
Request for Quotation (RFQ) for Duty-Free Scooters (Re-Advertisement),Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Request Proposal for Engineering Consultant for the Construction of Overhead Tank and Water Distribution System as part of “Health Reform Project 2”,ADRA Nepal,"Mahottari, Bardibas","Development and Project, Expression of Interests, Tender Notice, Bid"
Request for Proposal and Call for Quotation,Yuwalaya,"Rupandehi, Lumbini Province","Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Executive Assistant,Well Minded Australia,Kathmandu,Assistant
Crash Training Course on Humanitarian Response Management (HRM),Nepal Development Initiative Consulting Pvt Ltd,Lalitpur,"Development and Project, Employment Training, Expression of Interests, Tender Notice, Bid"
Procurement Notice – Individual Consultant – GESI Expert,UNDP,Kathmandu,Development and Project
Request for Proposal: Building Electrician Training,Community Development &amp; Advocacy Forum Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
खोर तथा गोठ सुधार सम्बन्धि निर्माण सामग्री खरिद लागी बोलपत्र आह्वानको सुचना,SAHAMATI,"Terai Region, Mahottari",Agriculture + Livestock
Terms of Reference (TOR) to Organize workshops with municipal officials on anticipatory action and SRSP &amp; also to Reinforce the establishment of Local Emergency Operation Centers (LEOCs),Center for Development and Disaster Management (CDM-Nepal),Lalitpur,"Engineering - Civil, Development / NGO, Development / INGO, Management Consultant, NGO/INGO/Social work, Environment and climate"
Call for Proposal for Gender Equality and Social Inclusion (GESI) Audit,ADRA Nepal,Lalitpur,"Development and Project, Auditing"
संवाददाता आवश्यकता सम्बन्धी सूचना,Association of Community Radio Broadcasters Nepal,Kathmandu,"Media / Journalism, Development and Project"
Request for Proposal (RFP) - Research Institute,National Democratic Institute for International Affairs (NDI),Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Various Positions,Taskmills,Kathmandu,"Administrative / Management, Graphic Design, Customer Service"
Field Officer,Ratauli Yuba Club (RYC),Lalitpur,"Public Health, Development and Project, Development / NGO"
Request for Proposal/Quotation,Lumanti Support Group for Shelter,"Birgunj, Lahan, Narayanghat","Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
REQUEST FOR EXPRESSION OF INTEREST (EOI) FROM ELIGIBLE SUPPLIERS,CARE Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Request for Proposal (RFP)-Readvertise,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
IT/Research Support Officer,Nepal Bankers&#039; Association,Mahottari,"Information Technology, Research"
REQUEST FOR PROPOSAL,USAID Tayar Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Finance Trainee,Shangri La Development Association,"Sunkoshi, sindhupalchowk","Accounting and Finance, Finance &amp; Administration, Development / NGO, Business Administration"
Market Representatives/Business Development Executive,HIMAL HERBACEUTICALS PVT LTD,Kathmandu,"Administrative / Management, Business Development, Marketing Representatives"
SJP MEAL Coordinator for Madhesh,People in  Need,Kathmandu,
Senior Project Officer- Engineer,PRACTICAL ACTION,Kathmandu,"Development and Project, Development / NGO, Engineering"
Call for Expression of Interest (EOI) for Vendor Roster,Heifer International Nepal,Kathmandu,"Development / NGO, Development / INGO"
कर्मचारी आवश्यकता,Ratauli Yuba Club (RYC),Kathmandu,"Accounting and Finance, Development and Project, Finance &amp; Administration, Development / NGO"
Finance Manager,Danfe Works Enterprises Nepal,Lalitpur,"Accounting and Finance, Development and Project"
TENDER NOTICE,Tuki Association Sunkoshi,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Expression of Interest for Vendor Listing,Ipas Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
