Job Title,Company,Location,Category
किताव छपाइको लागि दरभाउ पत्र (कोटेशन) आह्वान गरिएको सम्बन्धमा ।,Community Development & Advocacy Forum Nepal,"Mahottari, Bardibas","Development and Project, Expression of Interests, Tender Notice, Bid"
Procurement Notice – Individual Consultant – GESI Expert,UNDP,Agriculture + Livestock,"Rupandehi, Lumbini Province"
Request for Proposal: Building Electrician Training,Community Development & Advocacy Forum Nepal,"Engineering - Civil, Development / NGO, Development / INGO, Management Consultant, NGO/INGO/Social work, Environment and climate",Kathmandu
खोर तथा गोठ सुधार सम्बन्धि निर्माण सामग्री खरिद लागी बोलपत्र आह्वानको सुचना,SAHAMATI,"Development and Project, Auditing",Surkhet
Terms of Reference (TOR) to Organize workshops with municipal officials on anticipatory action and SRSP & also to Reinforce the establishment of Local Emergency Operation Centers (LEOCs),Center for Development and Disaster Management (CDM-Nepal),"Development and Project, Expression of Interests, Tender Notice, Bid","Rukum West, Karnali Province, Jajarkot"
Call for Proposal for Gender Equality and Social Inclusion (GESI) Audit,ADRA Nepal,"Engineering - Architecture, Engineering - Civil, Development and Project",Lalitpur
शिलबन्दी कोटेशन आह्वान सम्वन्धि सूचना,Social Awareness Center SAC Nepal,"Media / Journalism, Development and Project",Lalitpur
Senior Project Associate (Engineering),IOM Nepal,"Education, Teachers",Kathmandu
संवाददाता आवश्यकता सम्बन्धी सूचना,Association of Community Radio Broadcasters Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Janakpur
Teachers,Shanti Business Academy Pvt.Ltd,"Social Science, Development and Project",Kathmandu
Request for Proposal (RFP) - Research Institute,National Democratic Institute for International Affairs (NDI),"Development and Project, Expression of Interests, Tender Notice, Bid",Kathmandu
कार्यक्रम संयोजक  (Project Coordinator),Dalit Society Welfare Committee Nepal,"Administrative / Management, Graphic Design, Customer Service","Terai Region, Mahottari"
INVITATION FOR BIDS,Tukee Foundation,"Public Health, Development and Project, Development / NGO",Lalitpur
Various Positions,Taskmills,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Lalitpur
Field Officer,Ratauli Yuba Club (RYC),,Kathmandu
