Job Title,Company,Location,Category
Software ﻿QA Engineer Testing,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),Kathmandu,"Engineering - Software, Software Development"
Software Developer Dot Net,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),Terai Region,"Engineering - Civil, Engineering - Structural, Office Assistant"
"Interpreter, Translator, Bridge Engineer, Highway Engineer, HSE, Civil Engineer, Office Staff",Poly Changda Engineering Company,Rupandehi,"Development and Project, Expression of Interests, Tender Notice, Bid"
Expression of Interest to Conduct Training of Trainers (TOT),Access Planet Organization,Sarlahi,"Administrative / Management, Development and Project"
Admin Associate,Bagmati Welfare Society Nepal(BWSN),Doti,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
बाख्रा आपुर्ति सम्बन्धि टेण्डर आह्वान गरिएको सूचना,CEAD Nepal Doti,Pokhara,"Development and Project, Business Administration, NGO/INGO/Social work"
VT Mobiliser (1 Female only)-Residential,Opportunity Village Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Call for Proposal for consultancy service,Association of Community Radio Broadcasters Nepal,Okhaldhunga,"Development and Project, Environment and climate"
Individual Consultant - Capacity Building Officer,UNDP,Birendranagar Surkhet,"Education, Social Science, Development and Project"
Province Director,KIRDARC-Nepal,Kathmandu,"Automotive / Automobiles, Accounting and Finance, Marketing"
Various Positions,Vijay Motors Pvt. Ltd.,Kathmandu,Hospitality / Hotel
Crew Member (All-rounder),JobsNepal.com Direct Recruitment Service,Kathmandu,Administrative / Management
Administrative Officer,JobsNepal.com Direct Recruitment Service,"Madhesh Province, Lumbini Province, Sudurpashchim Province","Development and Project, Employment Training"
"Re-Call for Proposal for Consultancy for assessing the capacity of PHTC to conduct SRHR training and training need assessment in Madhesh, Lumbini and Sudurpaschim Provinces",ADRA Nepal,,
MEAL Technical Officer,People in  Need,Kathmandu,"Development and Project, Development / NGO"
MEAL-CFRM Coordinator,People in  Need,Pokhara,"Public Health, Development and Project, Research Officer"
Consultant to develop a Climate Resilient Health Facility Emergency Preparedness and Management Plan,International Federation of Red Cross and Red Crescent Societies (IFRC),Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Quality Improvement Manager / Research Officer (Re-Vacancy),International Nepal Fellowship,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
कृषि सामग्रीहरू खरिदको लागि सिलबन्दी दरभाउपत्र आह्वानको सूचना,Lele Community Development Center,Dadeldhura,"Development and Project, Development / NGO"
Call for Expression of Interest (EOI),United Mission to Nepal,Janakpur,"Development and Project, Finance & Administration"
Project Coordinator,Astha Nepal,Lalitpur,Information Technology
कर्मचारीको आवश्यक्ता,AANGAN,"Mahashila 5, Parbat, Gandaki Province","Accounting and Finance, Development and Project, Finance & Administration, Agriculture/Livelihood"
Senior Python Engineer,Javra Software Nepal Pvt. Ltd.,"Rupandehi, Lumbini Province","Development / NGO, Development / INGO, NGO/INGO/Social work"
लेखा अधिकृत/कृषि प्राविधिक/प्रशोधन केन्द्र व्यवस्थापक,"ENPRED, Nepal","Gandaki Province, Bagmati Province, Lumbini Province, Koshi Pradesh","Administrative / Management, Tourism Industry, Development and Project"
"Terms of Reference (TOR) for conducting a study to identify green jobs opportunities, major challenges and suggest strategies for nature-based solutions including value chain analysis",Center for Development and Disaster Management (CDM-Nepal),Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Short Term Technical Assistance (STTA),Deloitte,Sindhuli,"Development and Project, Development / NGO"
छात्रवृत्तिका लागि आवेदन सम्बन्धि सूचना !,Nepal National Dalit Social Welfare Organization (NNDSWO),"Madhesh Province, Lumbini Province","Development and Project, Expression of Interests, Tender Notice, Bid"
Programme Manager,Sindhuli Integrated Development Services Nepal (SIDS Nepal),Surkhet,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Re- Request for Application (RFA),The Asia Foundation,Nuwakot,Hydropower
शिलवन्दी कोटेशन आह्वान सम्वन्धि सूचना,Social Awareness Center SAC Nepal,Kathmandu,Development and Project
Sub Overseer (civil/electrical/mechanical),Buddhabhumi Nepal Hydropower Company Ltd.,Kathmandu,Accounting and Finance
Request for Full Application,Deloitte,Kathmandu,"Technical, Development and Project, Food Technology"
Accountant,Buddhabhumi Nepal Hydropower Company Ltd.,Chitwan,"Agriculture, Education, Social Science, Development and Project"
Technical Expert Food Systems and Nutrition,Welthungerhilfe,"Rukum West, Jajarkot","Engineering - Architecture, Development and Project, Engineering, Engineering - Structural"
कर्मचारी पदपूर्ति सम्बन्धि सूचना,National Federation of the Deaf Nepal (NDFN),Kathmandu,"Development and Project, Development / NGO"
Senior Project Associate (Engineering),IOM Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Project Officer (PO),Rural Women's Development and Unity Centre (RUWDUC),Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Request for Quotation (RFQ) for Duty-Free Scooters (Re-Advertisement),Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Request Proposal for Engineering Consultant for the Construction of Overhead Tank and Water Distribution System as part of “Health Reform Project 2”,ADRA Nepal,Assistant,Lalitpur
Request for Proposal and Call for Quotation,Yuwalaya,"Development and Project, Employment Training, Expression of Interests, Tender Notice, Bid",Lalitpur
Executive Assistant,Well Minded Australia,Development and Project,"Mahottari, Bardibas"
Crash Training Course on Humanitarian Response Management (HRM),Nepal Development Initiative Consulting Pvt Ltd,"Development and Project, Expression of Interests, Tender Notice, Bid",Agriculture + Livestock
Procurement Notice – Individual Consultant – GESI Expert,UNDP,"Rupandehi, Lumbini Province","Engineering - Civil, Development / NGO, Development / INGO, Management Consultant, NGO/INGO/Social work, Environment and climate"
Request for Proposal: Building Electrician Training,Community Development & Advocacy Forum Nepal,Kathmandu,"Development and Project, Auditing"
खोर तथा गोठ सुधार सम्बन्धि निर्माण सामग्री खरिद लागी बोलपत्र आह्वानको सुचना,SAHAMATI,Lalitpur,"Media / Journalism, Development and Project"
Terms of Reference (TOR) to Organize workshops with municipal officials on anticipatory action and SRSP & also to Reinforce the establishment of Local Emergency Operation Centers (LEOCs),Center for Development and Disaster Management (CDM-Nepal),Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Call for Proposal for Gender Equality and Social Inclusion (GESI) Audit,ADRA Nepal,Kathmandu,"Administrative / Management, Graphic Design, Customer Service"
संवाददाता आवश्यकता सम्बन्धी सूचना,Association of Community Radio Broadcasters Nepal,"Terai Region, Mahottari","Public Health, Development and Project, Development / NGO"
Request for Proposal (RFP) - Research Institute,National Democratic Institute for International Affairs (NDI),Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Various Positions,Taskmills,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Field Officer,Ratauli Yuba Club (RYC),Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Request for Proposal/Quotation,Lumanti Support Group for Shelter,Kathmandu,"Information Technology, Research"
